Data,Period,Organisation unit,Value
Q21U47uf0xo.REPORTING_RATE,201608,FV43JisquSm,100.0
xm6LbvmURdm.REPORTING_RATE,201608,K27JzTKmBKh,100.0
Q21U47uf0xo.REPORTING_RATE,201609,FV43JisquSm,100.0
xm6LbvmURdm.REPORTING_RATE,201609,FRmrFTE63D0,100.0
xm6LbvmURdm.REPORTING_RATE,201609,dOhqCNenSjS,100.0
xm6LbvmURdm.REPORTING_RATE,201608,dOhqCNenSjS,100.0
xm6LbvmURdm.REPORTING_RATE,201609,K27JzTKmBKh,100.0
Q21U47uf0xo.REPORTING_RATE,201608,vBWtCmNNnCG,100.0
xm6LbvmURdm.REPORTING_RATE,201608,FRmrFTE63D0,100.0
xm6LbvmURdm.REPORTING_RATE,201608,zZJMzjivp7q,100.0
xm6LbvmURdm.REPORTING_RATE,201609,zZJMzjivp7q,100.0
Q21U47uf0xo.REPORTING_RATE,201609,vBWtCmNNnCG,100.0
Q21U47uf0xo.REPORTING_RATE,201609,K7hBRGaGyx1,100.0
Q21U47uf0xo.REPORTING_RATE,201608,K7hBRGaGyx1,100.0
xm6LbvmURdm.REPORTING_RATE,201609,c4HrGRJoarj,100.0
Fpl26CKBEqZ.REPORTING_RATE,201608,vBWtCmNNnCG,100.0
eDXUmwx0yw8.REPORTING_RATE,201608,dOhqCNenSjS,100.0
xm6LbvmURdm.REPORTING_RATE,201608,c4HrGRJoarj,100.0
eDXUmwx0yw8.REPORTING_RATE,201608,c4HrGRJoarj,100.0
eDXUmwx0yw8.REPORTING_RATE,201608,XKGgynPS1WZ,100.0
eDXUmwx0yw8.REPORTING_RATE,201609,FRmrFTE63D0,100.0
eDXUmwx0yw8.REPORTING_RATE,201608,zZJMzjivp7q,100.0
eDXUmwx0yw8.REPORTING_RATE,201609,XKGgynPS1WZ,102.2
eDXUmwx0yw8.REPORTING_RATE,201609,dOhqCNenSjS,100.0
Q21U47uf0xo.REPORTING_RATE,201608,hRQsZhmvqgS,100.0
eDXUmwx0yw8.REPORTING_RATE,201608,FRmrFTE63D0,100.0
eDXUmwx0yw8.REPORTING_RATE,201609,zZJMzjivp7q,100.0
Q21U47uf0xo.REPORTING_RATE,201609,zZJMzjivp7q,100.0
Q21U47uf0xo.REPORTING_RATE,201609,c4HrGRJoarj,100.0
Q21U47uf0xo.REPORTING_RATE,201608,c4HrGRJoarj,99.0
Q21U47uf0xo.REPORTING_RATE,201609,hRQsZhmvqgS,100.0
Fpl26CKBEqZ.REPORTING_RATE,201608,hRQsZhmvqgS,100.0
eDXUmwx0yw8.REPORTING_RATE,201609,sv6c7CpPcrc,100.0
eDXUmwx0yw8.REPORTING_RATE,201608,sv6c7CpPcrc,100.0
Q21U47uf0xo.REPORTING_RATE,201608,quFXhkOJGB4,98.1
Q21U47uf0xo.REPORTING_RATE,201608,FRmrFTE63D0,100.0
Q21U47uf0xo.REPORTING_RATE,201609,FRmrFTE63D0,100.0
Q21U47uf0xo.REPORTING_RATE,201609,quFXhkOJGB4,100.0
Q21U47uf0xo.REPORTING_RATE,201608,YvLOmtTQD6b,111.6
eDXUmwx0yw8.REPORTING_RATE,201608,K7hBRGaGyx1,100.0
Q21U47uf0xo.REPORTING_RATE,201609,YvLOmtTQD6b,102.3
eDXUmwx0yw8.REPORTING_RATE,201609,K7hBRGaGyx1,100.0
eDXUmwx0yw8.REPORTING_RATE,201608,TOgZ99Jv0bN,100.0
eDXUmwx0yw8.REPORTING_RATE,201609,TOgZ99Jv0bN,94.4
eDXUmwx0yw8.REPORTING_RATE,201610,MBZYTqkEgwf,1.1
Q21U47uf0xo.REPORTING_RATE,201609,K27JzTKmBKh,100.0
eDXUmwx0yw8.REPORTING_RATE,201609,c4HrGRJoarj,100.0
